Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Musso;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1794
Titolare;Palomino;D;6.5;;1531
Titolare;Alex Sandro;D;5.5;;993
Titolare;Calabria;D;6;;668
Titolare;Acerbi;D;6;;40
Titolare;Kessie;C;7;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;1191
Titolare;Barella;C;7;;809
Riserva;Miranchuk;C;;;2307
Titolare;Kulusevski;C;6;;1739
Titolare;Rebic;A;7;imgBonus size-s imgBonus_9;625
Titolare;Lozano;A;6.5;imgBonus size-s imgBonus_1;2108
Riserva;Audero;P;6.5;imgBonus size-s imgBonus_2;525
Titolare;Zapata D.;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;483
Riserva;Destro;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;169
Riserva;Romero C.;D;7;imgBonus size-s imgBonus_6;1890
Riserva;Djuricic;C;;;1279
Riserva;Igor;D;5.5;imgBonus size-s imgBonus_6;2005
Riserva;Golemic;D;6;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_6;2279
