Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sirigu;P;7;imgBonus size-s imgBonus_10;1522
Titolare;Hateboer;D;6;imgBonus size-s imgBonus_6;1451
Titolare;Bruno Alves;D;5;imgBonus size-s imgBonus_6;1187
Titolare;Tomiyasu;D;6.5;;2037
Titolare;Magnani;D;6;;1846
Titolare;Hernani;C;5.5;;2050
Titolare;Mkhitaryan;C;6.5;;2124
Titolare;Soriano;C;6.5;;433
Titolare;Chiesa;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;1128
Titolare;Messias;A;6.5;imgBonus size-s imgBonus_9;2300
Titolare;Lukaku R.;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;2099
Riserva;Gollini;P;6;imgBonus size-s imgBonus_2;222
Riserva;Quagliarella;A;5.5;;386
Riserva;Sportiello;P;;;435
Riserva;Thorsby;C;6;;2036
Riserva;Linetty;C;6;;1294
Riserva;Gunter;D;;;1805
Riserva;Pezzella Ge.;D;5.5;imgBonus size-s imgBonus_6;1644
