Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Perin;P;6;imgBonus size-s imgBonus_2;369
Titolare;Gagliolo;D;6;imgBonus size-s imgBonus_6;594
Riserva;Toljan;D;;;2043
Titolare;Letizia;D;6;;595
Titolare;Iacoponi;D;5.5;;1753
Titolare;Zajc;C;6;;1439
Titolare;Zaccagni;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;748
Titolare;Lerager;C;6;;1925
Titolare;Ronaldo C.;A;8.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;1775
Titolare;Caprari;A;5;imgBonus size-s imgBonus_4;1185
Titolare;Gyasi;A;5.5;;2266
Riserva;Cordaz;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1166
Riserva;Kalinic;A;5.5;;983
Riserva;Viola;C;;;1573
Titolare;Muldur;D;5;;2107
Riserva;Ghiglione;D;;;745
Riserva;Yoshida;D;6.5;imgBonus size-s imgBonus_6;2182
Riserva;Nkoulou;D;;;1633
