Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Musso;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1794
Titolare;Palomino;D;7;;1531
Titolare;Acerbi;D;6.5;;40
Titolare;Glik;D;6.5;;219
Titolare;Djuricic;C;6;;1279
Titolare;Kessie;C;5.5;;1191
Titolare;Barella;C;5.5;imgBonus size-s imgBonus_6;809
Titolare;Miranchuk;C;6;;2307
Titolare;Lozano;A;5;;2108
Riserva;Destro;A;;;169
Titolare;Zapata D.;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;483
Riserva;Audero;P;7.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_5;525
Riserva;Rebic;A;;;625
Titolare;Pjaca;A;6;;1278
Riserva;Caceres;D;;;118
Riserva;Kulusevski;C;7;imgBonus size-s imgBonus_9;1739
Riserva;Calabria;D;6.5;imgBonus size-s imgBonus_1;668
Riserva;Golemic;D;6;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2279
