Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Szczesny;P;6.5;imgBonus size-s imgBonus_2;720
Titolare;Bonucci;D;6;;31
Titolare;Ferrari G.;D;6;;1168
Titolare;Kjaer;D;6;;2121
Riserva;Veretout;C;;;1607
Titolare;Damsgaard;C;7;imgBonus size-s imgBonus_9;2238
Titolare;Malinovskyi;C;6.5;;2078
Titolare;Cristante;C;7;imgBonus size-s imgBonus_9;1080
Titolare;Immobile;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1084
Titolare;Caputo;A;5.5;;1832
Titolare;Barrow;A;6.5;imgBonus size-s imgBonus_9;1705
Riserva;Buffon;P;;;30
Riserva;Rodriguez R.;D;;;1504
Riserva;Larsen;D;5.5;;1653
Titolare;Arthur;C;6;;2236
Riserva;Meite;C;;;1774
Riserva;Traore H.;C;6.5;;1831
Riserva;Palacio;A;6.5;;35
