Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Perin;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;369
Titolare;Gagliolo;D;5.5;;594
Riserva;Toljan;D;;;2043
Riserva;Cuadrado;D;;;952
Titolare;Ghiglione;D;6.5;imgBonus size-s imgBonus_9;745
Titolare;Zajc;C;5;;1439
Titolare;Zaccagni;C;7;imgBonus size-s imgBonus_9;748
Titolare;Lerager;C;5.5;;1925
Titolare;Ronaldo C.;A;6;;1775
Titolare;Caprari;A;6;imgBonus size-s imgBonus_6;1185
Titolare;Kalinic;A;5.5;;983
Riserva;Cordaz;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1166
Riserva;Gyasi;A;6.5;;2266
Riserva;Viola;C;;;1573
Titolare;Muldur;D;6.5;imgBonus size-s imgBonus_6;2107
Riserva;Nkoulou;D;;;1633
Titolare;Yoshida;D;6.5;;2182
Riserva;Ricci M.;C;;;2258
