Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Donnarumma G.;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;181
Titolare;Marusic;D;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1506
Riserva;Gosens;D;;;1533
Titolare;Erlic;D;6.5;;1134
Titolare;Milinkovic S.;C;6;;760
Titolare;Barak;C;5;;1622
Titolare;Schouten;C;7;imgBonus size-s imgBonus_1;2020
Titolare;Nainggolan;C;5;imgBonus size-s imgBonus_6;343
Titolare;Insigne L.;A;6.5;;251
Titolare;Ilicic;A;6.5;;249
Titolare;Vlahovic;A;6.5;imgBonus size-s imgBonus_9;1816
Riserva;Consigli;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_6;147
Riserva;Correa;A;5.5;;148
Riserva;El Shaarawy;A;5;imgBonus size-s imgBonus_6;190
Riserva;Calhanoglu;C;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;1507
Riserva;Pulgar;C;6.5;imgBonus size-s imgBonus_1;931
Riserva;Biraghi;D;;;95
Titolare;Hysaj;D;6.5;;245
