Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Audero;P;6;imgBonus size-s imgBonus_10;525
Titolare;Romero C.;D;6.5;imgBonus size-s imgBonus_6;1890
Titolare;Acerbi;D;6.5;;40
Titolare;Skriniar;D;6.5;;1099
Titolare;Kulusevski;C;5;;1739
Titolare;Kessie;C;6;imgBonus size-s imgBonus_9;1191
Titolare;Politano;C;7;imgBonus size-s imgBonus_9;510
Titolare;Miranchuk;C;6;;2307
Titolare;Lozano;A;6;;2108
Titolare;Destro;A;6.5;;169
Titolare;Zapata D.;A;7;imgBonus size-s imgBonus_1;483
Riserva;Musso;P;6.5;imgBonus size-s imgBonus_2;1794
Riserva;Torregrossa;A;;;553
Riserva;Czyborra;D;5.5;;2164
Riserva;Djuricic;C;5.5;;1279
Riserva;Palomino;D;6.5;;1531
Riserva;Ghiglione;D;;;745
Riserva;Zirkzee;A;;;2438
