Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Musso;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1794
Titolare;Romero C.;D;6;;1890
Titolare;Acerbi;D;6.5;;40
Titolare;Skriniar;D;6.5;;1099
Riserva;Czyborra;D;;;2164
Titolare;Kessie;C;6.5;;1191
Titolare;Politano;C;6.5;;510
Titolare;Barella;C;6;;809
Titolare;Rebic;A;6;;625
Titolare;Destro;A;6.5;imgBonus size-s imgBonus_1;169
Titolare;Zapata D.;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;483
Riserva;Audero;P;6;imgBonus size-s imgBonus_2;525
Riserva;Lozano;A;6;;2108
Riserva;Miranchuk;C;;;2307
Riserva;Djuricic;C;6.5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;1279
Titolare;Palomino;D;6;;1531
Riserva;Ghiglione;D;6;;745
Riserva;Kulusevski;C;4.5;;1739
