Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Perin;P;6;imgBonus size-s imgBonus_2;369
Titolare;Glik;D;7;imgBonus size-s imgBonus_1;219
Titolare;Gagliolo;D;6;;594
Titolare;Augello;D;6.5;;2087
Riserva;Viola;C;;;1573
Titolare;Zaccagni;C;6.5;;748
Riserva;Jankto;C;;;257
Titolare;Kurtic;C;6.5;imgBonus size-s imgBonus_1;272
Titolare;Ronaldo C.;A;6;imgBonus size-s imgBonus_1;1775
Titolare;Lasagna;A;7;imgBonus size-s imgBonus_1;612
Titolare;Caprari;A;6.5;imgBonus size-s imgBonus_9;1185
Riserva;Cordaz;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1166
Riserva;Man;A;7;imgBonus size-s imgBonus_1;2431
Riserva;Favilli;A;;;1103
Titolare;Soriano;C;5.5;;433
Titolare;Ricci M.;C;5;;2258
Riserva;Pezzella Ge.;D;6.5;;1644
Riserva;Yoshida;D;;;2182
