Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Szczesny;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_5;720
Riserva;Bonucci;D;;;31
Titolare;Ferrari G.;D;5.5;;1168
Titolare;Larsen;D;6;;1653
Titolare;Malinovskyi;C;7;imgBonus size-s imgBonus_1;2078
Titolare;Kucka;C;5.5;;271
Titolare;Damsgaard;C;5;;2238
Titolare;Cristante;C;6;imgBonus size-s imgBonus_6;1080
Riserva;Caputo;A;;;1832
Titolare;Immobile;A;6;;1084
Titolare;Barrow;A;5.5;;1705
Riserva;Buffon;P;;;30
Titolare;Kjaer;D;7.5;;2121
Riserva;Young;D;6.5;imgBonus size-s imgBonus_9;2160
Riserva;Traore H.;C;6.5;imgBonus size-s imgBonus_9;1831
Riserva;Ekdal;C;6;;812
Riserva;Lucas Leiva;C;6;imgBonus size-s imgBonus_6;1602
Titolare;Palacio;A;6;;35
