Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Reina;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;551
Titolare;Toloi;D;6.5;;1013
Titolare;Lykogiannis;D;5.5;;1699
Titolare;Hernandez;D;6;;2017
Titolare;Koulibaly;D;6.5;imgBonus size-s imgBonus_6;269
Titolare;Saelemaekers;C;6.5;;2178
Titolare;Pereyra;C;6.5;imgBonus size-s imgBonus_6;367
Titolare;Nzola;A;5.5;;2270
Titolare;Simy;A;7;imgBonus size-s imgBonus_3;1281
Titolare;Gyasi;A;5.5;;2266
Titolare;Belotti;A;7;imgBonus size-s imgBonus_9;79
Riserva;Provedel;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;500
Riserva;Manolas;D;6.5;imgBonus size-s imgBonus_6;300
Riserva;Zeegelaar;D;;;1909
Riserva;Musacchio;D;;;1503
Riserva;Schiattarella;C;5;imgBonus size-s imgBonus_6;1539
Riserva;Piccoli;A;;;1920
Riserva;Castillejo;C;;;1863
