Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Buffon;P;6;imgBonus size-s imgBonus_2;30
Titolare;Bonucci;D;6;;31
Titolare;Kjaer;D;6;;2121
Titolare;Ferrari G.;D;7;;1168
Titolare;Arthur;C;6;;2236
Titolare;Malinovskyi;C;7;imgBonus size-s imgBonus_1;2078
Titolare;Veretout;C;5;;1607
Riserva;Damsgaard;C;;;2238
Titolare;Immobile;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1084
Titolare;Barrow;A;7;imgBonus size-s imgBonus_1;1705
Titolare;Defrel;A;5.5;;801
Riserva;Szczesny;P;;;720
Riserva;Larsen;D;5.5;;1653
Riserva;Mario Rui;D;;;306
Titolare;Cristante;C;6.5;imgBonus size-s imgBonus_1;1080
Riserva;Traore H.;C;6.5;;1831
Riserva;Lucas Leiva;C;4.5;imgBonus size-s imgBonus_6;1602
Riserva;Palacio;A;;;35
