Squadra;Punti;Vittorie;Nulle;Sconfitte;GolFa;GolSu;FantaPunti;PG
"Quack Quack Team";61;18;7;11;63;48;2639,5;36;
"No Good Team";59;17;8;11;61;58;2627;36;
Mignottingham;58;17;7;12;55;51;2598,5;36;
"Spartak Moseca ";53;16;5;15;60;51;2586,5;36;
"F.O.C ACCINA";52;15;7;14;63;57;2625;36;
MinnesodeTimbercimi;51;15;6;15;71;66;2695;36;
"FC I Bastardi di Pizzighettone ";47;14;5;17;47;54;2533,5;36;
SAM-PDOR;46;13;7;16;47;55;2526,5;36;
"Harem City";41;12;5;19;55;68;2584,5;36;
"A.C.Quario di Venezia";39;10;9;17;44;58;2515,5;36;
