Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Ospina;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1869
Titolare;Becao;D;5.5;;2034
Titolare;Bastoni S.;D;5;imgBonus size-s imgBonus_9;2255
Titolare;Toljan;D;5;;2043
Titolare;Amian;D;5.5;;2529
Titolare;Candreva;C;7;imgBonus size-s imgBonus_1;33
Titolare;Nandez;C;7;imgBonus size-s imgBonus_9;2098
Titolare;Kovalenko;C;6;;2435
Titolare;Frattesi;C;6;;1431
Titolare;Joao Pedro;A;7;imgBonus size-s imgBonus_3;836
Titolare;Abraham;A;5.5;;2558
Riserva;Meret;P;;;325
Riserva;Muldur;D;;;2107
Riserva;Carboni;D;5;;2154
Riserva;Dominguez;C;6;;2153
Riserva;Sanabria;A;;;416
Riserva;Gyasi;A;6;imgBonus size-s imgBonus_6;2266
Riserva;Henry;A;6.5;;2568
