Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Szczesny;P;6;imgBonus size-s imgBonus_10;720
Titolare;Molina;D;5;imgBonus size-s imgBonus_6;2240
Titolare;Bremer;D;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1773
Titolare;Hernandez;D;5.5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;2017
Titolare;Felipe Anderson;C;5.5;;196
Titolare;Tonali;C;6;;1996
Titolare;Pereyra;C;5.5;imgBonus size-s imgBonus_6;367
Titolare;Pasalic;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_15;1357
Titolare;Shomurodov;A;5;;2354
Titolare;Quagliarella;A;6.5;imgBonus size-s imgBonus_9;386
Titolare;Pedro;A;5.5;;2289
Riserva;Perin;P;;;369
Riserva;Ola Aina;D;6;;1859
Riserva;Marchizza;D;5;;1087
Riserva;Zaccagni;C;5;;748
Riserva;Pessina;C;6;;1508
Riserva;Gabbiadini;A;;;208
Riserva;Correa;A;6.5;imgBonus size-s imgBonus_9;148
