Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Reina;P;;;551
Titolare;Maehle;D;6.5;;2417
Titolare;Faraoni;D;6;imgBonus size-s imgBonus_9;536
Titolare;Tomori;D;6.5;;2428
Titolare;Luiz Felipe;D;5.5;;1628
Titolare;Veretout;C;5;;1607
Titolare;Kessie;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1191
Riserva;Barak;C;;;1622
Titolare;Veloso;C;6;;1299
Titolare;Immobile;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1084
Titolare;Verde;A;5.5;;465
Riserva;Politano;A;;;510
Titolare;Bentancur;C;6;;1518
Riserva;Sensi;C;;;1275
Riserva;Palomino;D;6;;1531
Riserva;Casale;D;5;;2070
Riserva;Larsen;D;;;1653
Titolare;Strakosha;P;7;imgBonus size-s imgBonus_2;439
