Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Handanovic;P;6.5;imgBonus size-s imgBonus_2;237
Titolare;Koulibaly;D;6;;269
Titolare;Skriniar;D;5.5;;1099
Titolare;Cuadrado;D;7;;952
Titolare;Danilo;D;6;;2096
Titolare;Milinkovic S.;C;6;;760
Titolare;Castrovilli;C;6.5;;1460
Titolare;Zaniolo;C;5;;1827
Titolare;Arnautovic;A;5;;2535
Titolare;Scamacca;A;7;imgBonus size-s imgBonus_1;1454
Titolare;Giroud;A;6;;2500
Riserva;Radu I.;P;;;1158
Riserva;Gonzalez N.;A;6;;2507
Riserva;Arslan;C;;;2336
Riserva;Gunter;D;5.5;imgBonus size-s imgBonus_6;1805
Riserva;Colley O.;D;5;;1745
Riserva;Lopez;C;6.5;imgBonus size-s imgBonus_6;2374
Riserva;Zappacosta;D;5.5;imgBonus size-s imgBonus_6;484
