Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Rui Patricio;P;6;imgBonus size-s imgBonus_10;2508
Titolare;Lazzari;D;5;imgBonus size-s imgBonus_6;1542
Titolare;Calabria;D;7.5;imgBonus size-s imgBonus_1;668
Titolare;Dimarco;D;6.5;;599
Titolare;Lykogiannis;D;6;;1699
Titolare;Pellegrini Lo.;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;364
Titolare;Bajrami;C;6;;2493
Titolare;Diaz;C;6;imgBonus size-s imgBonus_6;2319
Titolare;Mckennie;C;5.5;;2297
Titolare;Martinez L.;A;6;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;1747
Titolare;Gyasi;A;5.5;;2266
Riserva;Sirigu;P;6;imgBonus size-s imgBonus_2;1522
Riserva;Samir;D;6.5;imgBonus size-s imgBonus_6;1092
Riserva;Ferrari G.;D;5.5;;1168
Riserva;Vidal;C;6.5;;467
Riserva;Skov Olsen;C;;;2084
Riserva;Zurkowski;C;6;;2065
Riserva;Raspadori;A;5.5;imgBonus size-s imgBonus_6;1947
