Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Strakosha;P;5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;439
Titolare;Hernandez;D;6.5;;2017
Titolare;Faraoni;D;6.5;;536
Titolare;Tomori;D;6.5;;2428
Titolare;Palomino;D;6.5;imgBonus size-s imgBonus_6;1531
Titolare;Kessie;C;6;;1191
Titolare;Pasalic;C;7;imgBonus size-s imgBonus_1;1357
Riserva;Pessina;C;;;1508
Titolare;Walace;C;5.5;;2097
Titolare;Barak;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1622
Riserva;Politano;A;;;510
Riserva;Reina;P;;;551
Titolare;Verde;A;6.5;imgBonus size-s imgBonus_9;465
Titolare;Veloso;C;6;;1299
Riserva;Soumaoro;D;6.5;;2176
Riserva;Ikone;A;5.5;;2629
Riserva;Cuisance;C;5.5;;2633
Riserva;Casale;D;6;;2070
