Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Terracciano;P;6;imgBonus size-s imgBonus_10;1821
Titolare;Dalbert;D;5;;1632
Titolare;Smalling;D;5.5;;2119
Titolare;Di Lorenzo;D;7;imgBonus size-s imgBonus_9;1822
Titolare;Kalulu;D;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2277
Titolare;Luis Alberto;C;6;;1367
Riserva;Zielinski;C;;;486
Titolare;Deiola;C;5.5;;1223
Titolare;Bonaventura;C;5.5;;101
Titolare;Malinovskyi;A;5.5;;2078
Titolare;Osimhen;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2290
Riserva;Dragowski;P;;;1263
Riserva;Augello;D;5.5;;2087
Titolare;Elmas;C;5.5;;2085
Riserva;Rrahmani;D;6;;2045
Riserva;Schouten;C;6;;2020
Riserva;Lobotka;C;6;;2158
Riserva;Morata;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;336
