Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Strakosha;P;6;imgBonus size-s imgBonus_10;439
Titolare;Maehle;D;5.5;;2417
Titolare;Faraoni;D;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_7;536
Titolare;Tomori;D;6.5;;2428
Riserva;Pezzella Gi.;D;;;706
Titolare;Kessie;C;6;;1191
Titolare;Pasalic;C;5;;1357
Titolare;Pessina;C;6;;1508
Titolare;Barak;C;5.5;;1622
Titolare;Verde;A;5.5;imgBonus size-s imgBonus_4|imgBonus size-s imgBonus_9;465
Titolare;Politano;A;6.5;imgBonus size-s imgBonus_9;510
Riserva;Reina;P;;;551
Titolare;Palomino;D;6;;1531
Riserva;Arthur;C;6.5;;2236
Riserva;Veloso;C;;;1299
Riserva;Kyriakopoulos;D;6.5;imgBonus size-s imgBonus_9;2123
Riserva;Ikone;A;5.5;;2629
Riserva;Pjaca;A;;;1278
