Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Ospina;P;6;imgBonus size-s imgBonus_10;1869
Titolare;Hernandez;D;7;imgBonus size-s imgBonus_6;2017
Titolare;Bremer;D;6.5;;1773
Titolare;Gosens;D;5.5;;1533
Titolare;Bernardeschi;C;5.5;;86
Titolare;Veretout;C;7;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;1607
Titolare;Bonaventura;C;6.5;;101
Titolare;Tonali;C;6;;1996
Titolare;Abraham;A;6;;2558
Titolare;Morata;A;5.5;;336
Titolare;Politano;A;6;;510
Riserva;Belec;P;6.5;imgBonus size-s imgBonus_2;888
Riserva;Lozano;A;6;;2108
Riserva;Sanabria;A;5.5;;416
Riserva;Busio;C;6;;2544
Riserva;Lucas Leiva;C;5.5;imgBonus size-s imgBonus_6;1602
Riserva;Stojanovic;D;6.5;imgBonus size-s imgBonus_9;2510
Riserva;Pedro;A;7;imgBonus size-s imgBonus_1;2289
