Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Ospina;P;6.5;imgBonus size-s imgBonus_2;1869
Titolare;Hernandez;D;7;imgBonus size-s imgBonus_9;2017
Titolare;Amian;D;5.5;;2529
Titolare;Larsen;D;5.5;imgBonus size-s imgBonus_8;1653
Titolare;Veretout;C;6;;1607
Titolare;Busio;C;6.5;imgBonus size-s imgBonus_1;2544
Titolare;Lucas Leiva;C;5.5;;1602
Titolare;Tonali;C;7.5;imgBonus size-s imgBonus_1;1996
Titolare;Abraham;A;6.5;;2558
Titolare;Lozano;A;7;imgBonus size-s imgBonus_1;2108
Titolare;Pedro;A;5;imgBonus size-s imgBonus_6;2289
Riserva;Meret;P;;;325
Riserva;Stojanovic;D;6;imgBonus size-s imgBonus_6;2510
Riserva;Marchizza;D;5;;1087
Riserva;Bonaventura;C;6;imgBonus size-s imgBonus_6;101
Riserva;Ricci S.;C;5.5;imgBonus size-s imgBonus_6;1269
Riserva;Politano;A;6.5;;510
Riserva;Sanabria;A;5.5;imgBonus size-s imgBonus_6;416
