Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Reina;P;5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;551
Titolare;Maehle;D;5.5;;2417
Titolare;Luiz Felipe;D;5.5;imgBonus size-s imgBonus_6;1628
Titolare;Faraoni;D;6.5;imgBonus size-s imgBonus_1;536
Titolare;Tomori;D;7;imgBonus size-s imgBonus_6;2428
Titolare;Kessie;C;7;;1191
Titolare;Barak;C;6.5;;1622
Titolare;Pereyra;C;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;367
Riserva;Immobile;A;;;1084
Titolare;Kalinic;A;6;;983
Titolare;Verde;A;5.5;;465
Titolare;Correa;A;5;;148
Riserva;Shomurodov;A;;;2354
Riserva;Pulgar;C;5.5;imgBonus size-s imgBonus_6;931
Riserva;Samardzic;C;;;2541
Riserva;Perez C.;C;;;2175
Riserva;Casale;D;6.5;;2070
Riserva;Strakosha;P;;;439
