Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Consigli;P;7.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;147
Titolare;Dumfries;D;7;imgBonus size-s imgBonus_1;2551
Titolare;Yoshida;D;5.5;;2182
Titolare;Hysaj;D;6.5;;245
Titolare;Barella;C;5.5;imgBonus size-s imgBonus_6;809
Titolare;Ekdal;C;6;;812
Titolare;Perisic;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;997
Titolare;Torreira;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;1216
Titolare;Caputo;A;6.5;imgBonus size-s imgBonus_9;1832
Titolare;Vlahovic;A;7;imgBonus size-s imgBonus_1;1816
Titolare;Destro;A;5.5;;169
Riserva;Pegolo;P;;;363
Riserva;Alex Sandro;D;6;;993
Riserva;Bereszynski;D;6;;1413
Riserva;Mandragora;C;;;299
Riserva;Traore;C;5.5;imgBonus size-s imgBonus_6;1831
Riserva;Saelemaekers;C;6;;2178
Riserva;Orsolini;A;;;1519
