Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Ospina;P;6.5;imgBonus size-s imgBonus_2;1869
Riserva;Bastoni S.;D;;;2255
Titolare;Becao;D;6;;2034
Titolare;Criscito;D;5;imgBonus size-s imgBonus_4;1804
Titolare;Candreva;C;6.5;imgBonus size-s imgBonus_6;33
Titolare;Frattesi;C;4.5;imgBonus size-s imgBonus_6;1431
Titolare;Samardzic;C;6;;2541
Titolare;Amiri;C;6;;2702
Titolare;Henry;A;5.5;;2568
Titolare;Joao Pedro;A;6.5;imgBonus size-s imgBonus_1;836
Titolare;Abraham;A;5.5;;2558
Riserva;Meret;P;;;325
Titolare;Amian;D;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2529
Riserva;Muldur;D;4.5;;2107
Riserva;Chiriches;D;4;;757
Riserva;Kovalenko;C;5;imgBonus size-s imgBonus_6;2435
Riserva;Gyasi;A;5.5;;2266
Riserva;Sanabria;A;;;416
