Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;6.5;imgBonus size-s imgBonus_10;2498
Titolare;Rodriguez R.;D;6;;1504
Riserva;Gosens;D;;;1533
Riserva;Toloi;D;;;1013
Titolare;Zaccagni;C;6.5;imgBonus size-s imgBonus_6;748
Riserva;Koopmeiners;C;;;2580
Titolare;Felipe Anderson;C;5.5;;196
Titolare;Messias;C;5.5;;2300
Titolare;Insigne L.;A;7.5;imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_9;251
Titolare;Simeone;A;6.5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;1343
Titolare;Dzeko;A;5.5;;759
Riserva;Skorupski;P;7.5;imgBonus size-s imgBonus_10;429
Titolare;Pellegrini Lu.;D;6;imgBonus size-s imgBonus_6;1725
Titolare;Biraghi;D;6.5;;95
Titolare;Lukic;C;5.5;imgBonus size-s imgBonus_6;1298
Riserva;Piatek;A;;;1807
Riserva;El Shaarawy;A;5.5;;190
Riserva;Manaj;A;5.5;imgBonus size-s imgBonus_6;975
