Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Handanovic;P;6.5;imgBonus size-s imgBonus_2;237
Titolare;Zappacosta;D;5.5;;484
Titolare;Skriniar;D;5.5;;1099
Titolare;Koulibaly;D;7.5;imgBonus size-s imgBonus_1;269
Titolare;Danilo;D;6.5;imgBonus size-s imgBonus_9;2096
Titolare;Milinkovic S.;C;7.5;imgBonus size-s imgBonus_1;760
Riserva;Lazovic;C;;;669
Titolare;Zaniolo;C;5.5;;1827
Titolare;Arnautovic;A;5.5;;2535
Titolare;Giroud;A;5;;2500
Titolare;Scamacca;A;5;;1454
Riserva;Radu I.;P;;;1158
Riserva;Colley O.;D;6.5;;1745
Titolare;Arslan;C;6;;2336
Riserva;Gunter;D;6;;1805
Riserva;Lopez;C;5.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2374
Riserva;Fazio;D;6.5;;1302
Riserva;Gonzalez N.;A;5.5;;2507
