Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Musso;P;;;1794
Titolare;Ibanez;D;5;imgBonus size-s imgBonus_6;1923
Titolare;De Ligt;D;6.5;;2047
Titolare;Acerbi;D;6.5;;40
Titolare;Singo;D;6;;1951
Titolare;Marin;C;5.5;;2311
Titolare;Locatelli;C;7;imgBonus size-s imgBonus_9;1123
Titolare;Crnigoj;C;5;;2482
Titolare;Lozano;A;6;;2108
Titolare;Muriel;A;5.5;;341
Titolare;Pedro;A;6;;2289
Riserva;Boga;A;5;;1840
Riserva;Pereiro;A;5;;2181
Riserva;Thorsby;C;5.5;;2036
Riserva;Grassi;C;5;;228
Riserva;Vasquez;D;6.5;;2550
Riserva;Buongiorno;D;6.5;;1463
Titolare;Sportiello;P;6;imgBonus size-s imgBonus_10;435
