Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Vicario;P;6.5;imgBonus size-s imgBonus_2;2305
Titolare;Acerbi;D;6;;40
Titolare;De Ligt;D;6.5;;2047
Riserva;De Vrij;D;;;164
Titolare;Singo;D;6;imgBonus size-s imgBonus_6;1951
Titolare;Soriano;C;6;;433
Titolare;Mkhitaryan;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2124
Titolare;Locatelli;C;6;imgBonus size-s imgBonus_6;1123
Titolare;Thorsby;C;5.5;;2036
Titolare;Boga;A;5.5;;1840
Titolare;Lozano;A;6.5;imgBonus size-s imgBonus_9;2108
Riserva;Muriel;A;6.5;;341
Riserva;Success;A;7;imgBonus size-s imgBonus_9;2559
Riserva;Crnigoj;C;6;;2482
Riserva;Grassi;C;4.5;imgBonus size-s imgBonus_7;228
Titolare;Ibanez;D;6;imgBonus size-s imgBonus_6;1923
Riserva;Vasquez;D;5.5;;2550
Riserva;Musso;P;5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1794
