Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;6.5;imgBonus size-s imgBonus_10;2498
Titolare;Milenkovic;D;6.5;;1552
Riserva;Rodriguez R.;D;;;1504
Titolare;Djimsiti;D;5.5;;1090
Titolare;Zaccagni;C;6;;748
Titolare;Koopmeiners;C;6;;2580
Titolare;Messias;C;5;;2300
Titolare;Lukic;C;6;;1298
Riserva;Piatek;A;;;1807
Titolare;Simeone;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1343
Titolare;Insigne L.;A;7;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_9;251
Riserva;Skorupski;P;7;imgBonus size-s imgBonus_10;429
Riserva;Gosens;D;;;1533
Titolare;Biraghi;D;6.5;imgBonus size-s imgBonus_9;95
Riserva;Felipe Anderson;C;6.5;imgBonus size-s imgBonus_6;196
Riserva;Calhanoglu;C;6;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;1507
Titolare;Dzeko;A;5;;759
Riserva;Manaj;A;7;imgBonus size-s imgBonus_6;975
