Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Silvestri;P;6;imgBonus size-s imgBonus_2;1599
Titolare;Parisi;D;6;imgBonus size-s imgBonus_6;2492
Titolare;Buongiorno;D;7.25;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1463
Titolare;Mazzocchi;D;6.25;;2479
Titolare;Pereyra;C;6;;367
Titolare;Samardzic;C;6;;2541
Titolare;Barak;C;5.5;;1622
Titolare;Winks;C;5.5;;2861
Riserva;Beto;A;;;2590
Titolare;Osimhen;A;7;imgBonus size-s imgBonus_1;2290
Titolare;Gaich;A;4.5;imgBonus size-s imgBonus_8;2432
Riserva;Carnesecchi;P;7.5;imgBonus size-s imgBonus_2;2299
Riserva;Sernicola;D;6;;1838
Riserva;Colpani;C;5.5;;1881
Riserva;Lookman;C;;;2812
Titolare;Nestorovski;A;5.75;;1202
Riserva;Simeone;A;;;1343
Riserva;Boga;C;6.5;;1840
