Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;6;imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_10;2498
Titolare;Hernandez;D;7.5;imgBonus size-s imgBonus_1;2017
Titolare;Romagnoli A.;D;5.75;imgBonus size-s imgBonus_6;404
Titolare;Posch;D;6;imgBonus size-s imgBonus_6;2868
Titolare;Bennacer;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1830
Titolare;Calhanoglu;C;5.25;;1507
Titolare;De Roon;C;6;;670
Titolare;Zaccagni;C;6.25;;748
Titolare;Lozano;A;5.75;;2108
Riserva;Leao;A;;;2089
Titolare;Shomurodov;A;6.25;;2354
Riserva;Skorupski;P;6;imgBonus size-s imgBonus_2;429
Titolare;Raspadori;A;6.25;;1947
Riserva;Ciofani;A;6.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;662
Riserva;Ilic;C;6.5;;2326
Riserva;Sottil;C;6;;1595
Riserva;Milenkovic;D;6.25;;1552
Riserva;Rodriguez R.;D;6.25;;1504
