Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Rui Patricio;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2508
Titolare;Reca;D;6;;1756
Titolare;Tomori;D;6;;2428
Titolare;Carlos Augusto;D;6;;2740
Titolare;Di Lorenzo;D;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1822
Titolare;Gyasi;C;6;;2266
Titolare;Pellegrini Lo.;C;6.25;;364
Titolare;Tonali;C;7;imgBonus size-s imgBonus_9;1996
Titolare;Caputo;A;7.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_3;1832
Titolare;Lukaku;A;7;imgBonus size-s imgBonus_1;2099
Titolare;Caprari;A;5.5;imgBonus size-s imgBonus_6;1185
Riserva;Svilar;P;;;2746
Riserva;Dzeko;A;;;759
Riserva;Wijnaldum;C;5.5;;2806
Riserva;Matic;C;7;imgBonus size-s imgBonus_1;2767
Riserva;Tameze;C;5.5;;2180
Riserva;Nikolaou;D;6.25;;1922
Riserva;Kalulu;D;;;2277
