Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Provedel;P;6;imgBonus size-s imgBonus_10;500
Titolare;Caldirola;D;6;imgBonus size-s imgBonus_6;2244
Titolare;Mari;D;6;imgBonus size-s imgBonus_6;2676
Titolare;Scalvini;D;4.5;;2561
Titolare;Frattesi;C;5.5;;1431
Titolare;Koopmeiners;C;5.5;imgBonus size-s imgBonus_6;2580
Titolare;Strefezza;C;6;;2046
Titolare;Saelemaekers;C;6;;2178
Titolare;Ngonge;A;5;;2906
Titolare;Arnautovic;A;7.25;imgBonus size-s imgBonus_1;2535
Titolare;Hojlund;A;7.25;imgBonus size-s imgBonus_1;2851
Riserva;Maximiano;P;;;2781
Riserva;Mota;A;5.5;imgBonus size-s imgBonus_6;1696
Riserva;Vlasic;C;5.75;;2827
Riserva;Miranchuk;C;6.25;;2307
Riserva;Messias;C;6;;2300
Riserva;Toloi;D;6.5;;1013
Riserva;Perez N.;D;6;;2570
