Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Meret;P;6.75;imgBonus size-s imgBonus_2;325
Titolare;Dumfries;D;5.5;;2551
Titolare;Rrahmani;D;6.25;imgBonus size-s imgBonus_6;2045
Titolare;Smalling;D;6.25;;2119
Titolare;Kostic;C;5;;2818
Titolare;Felipe Anderson;C;6.5;;196
Titolare;Pasalic;C;5.5;;1357
Titolare;Barak;C;5.75;imgBonus size-s imgBonus_6;1622
Titolare;Nzola;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;2270
Titolare;Lammers;A;5.75;;2340
Titolare;Abraham;A;5.25;;2558
Riserva;Sirigu;P;;;1522
Riserva;Kasius;D;5.5;imgBonus size-s imgBonus_6;2707
Riserva;Becao;D;6.25;imgBonus size-s imgBonus_6;2034
Riserva;Ostigard;D;;;2632
Riserva;Ederson;C;6;;2701
Riserva;Lopez;C;6.5;imgBonus size-s imgBonus_6;2374
Riserva;Coulibaly L.;C;6;imgBonus size-s imgBonus_6;2554
