Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Milinkovic V.;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_6;1523
Titolare;Vojvoda;D;5.5;imgBonus size-s imgBonus_6;2292
Titolare;Dimarco;D;6;;599
Titolare;Valeri;D;6;;2757
Titolare;Toljan;D;5;;2043
Titolare;Lobotka;C;6;;2158
Titolare;Barella;C;5.25;;809
Riserva;Bajrami;C;;;2493
Titolare;Zaniolo;C;6.5;;1827
Titolare;Raspadori;A;;;1947
Riserva;Pellegri;A;;;1161
Riserva;Consigli;P;6;imgBonus size-s imgBonus_2;147
Titolare;Cuadrado;D;6;;952
Riserva;De Vrij;D;5.75;;164
Riserva;Erlic;D;5.5;;1134
Riserva;Caldara;D;6.25;imgBonus size-s imgBonus_6;1192
Titolare;Zanimacchia;C;6.25;;1336
Riserva;De Roon;C;;;670
