Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Perin;P;6;imgBonus size-s imgBonus_10;369
Titolare;Udogie;D;6.25;;2337
Titolare;Singo;D;6.5;;1951
Riserva;Lazaro;D;;;2019
Titolare;Politano;C;6;;510
Titolare;Fagioli;C;7.25;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1921
Titolare;Ricci S.;C;6.25;;1269
Titolare;Orsolini;C;5.75;imgBonus size-s imgBonus_6;1519
Titolare;Milinkovic S.;C;6;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;760
Titolare;Iling Jr.;A;6;;2735
Titolare;Zapata;A;5;;483
Riserva;Szczesny;P;;;720
Titolare;Augello;D;5.75;;2087
Riserva;Cambiaso;D;6;;2556
Riserva;Mkhitaryan;C;6;imgBonus size-s imgBonus_9;2124
Riserva;Pessina;C;6.75;imgBonus size-s imgBonus_9;1508
Riserva;Calabria;D;;;668
Riserva;Origi;A;5.25;;2752
