Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Meret;P;;;325
Titolare;Becao;D;4.75;imgBonus size-s imgBonus_7;2034
Titolare;Schuurs;D;6;;2832
Titolare;Rrahmani;D;5;;2045
Riserva;Saponara;C;;;418
Titolare;Felipe Anderson;C;6;;196
Titolare;Ederson;C;5.5;;2701
Riserva;Kostic;C;;;2818
Titolare;Pasalic;C;5.5;;1357
Titolare;Abraham;A;6.5;;2558
Titolare;Pinamonti;A;6;;1306
Titolare;Gollini;P;6.25;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;222
Titolare;Chiesa;C;6.5;imgBonus size-s imgBonus_9;1128
Riserva;Juan Jesus;D;5.5;;261
Riserva;Belotti;A;5.5;;79
Titolare;Brekalo;C;6.25;;2591
Riserva;Luperto;D;6;;682
Riserva;Coulibaly L.;C;6.5;imgBonus size-s imgBonus_6;2554
