Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Meret;P;6;imgBonus size-s imgBonus_10;325
Titolare;Becao;D;6.5;;2034
Titolare;Schuurs;D;6.75;;2832
Riserva;Smalling;D;;;2119
Titolare;Saponara;C;6.5;imgBonus size-s imgBonus_1;418
Titolare;Felipe Anderson;C;5.25;;196
Titolare;Ederson;C;6.5;;2701
Titolare;Kostic;C;6;;2818
Titolare;Nzola;A;5.5;;2270
Titolare;Abraham;A;5.5;;2558
Titolare;Pinamonti;A;5.5;;1306
Riserva;Gollini;P;;;222
Riserva;Chiesa;C;5.75;;1128
Titolare;Llorente;D;5.5;;2912
Riserva;Belotti;A;6.5;imgBonus size-s imgBonus_9;79
Riserva;Juan Jesus;D;6;;261
Riserva;Luperto;D;5.5;;682
Riserva;Coulibaly L.;C;7;imgBonus size-s imgBonus_1;2554
