Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sportiello;P;6.5;imgBonus size-s imgBonus_2;435
Riserva;Bremer;D;;;1773
Titolare;Olivera;D;6.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2754
Titolare;Darmian;D;6;;154
Titolare;Luis Alberto;C;6.5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;1367
Titolare;Zielinski;C;5.5;imgBonus size-s imgBonus_6;486
Titolare;Rabiot;C;5.25;imgBonus size-s imgBonus_6;2029
Titolare;Marin;C;6;;2311
Titolare;Milik;A;5.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_4;1296
Titolare;Gabbiadini;A;5.25;;208
Titolare;Dia;A;6;imgBonus size-s imgBonus_1;2842
Riserva;Musso;P;;;1794
Titolare;Bastoni A.;D;6.25;imgBonus size-s imgBonus_6;1389
Riserva;Marusic;D;5.5;imgBonus size-s imgBonus_6;1506
Riserva;Candreva;C;6;;33
Riserva;Cristante;C;6.25;imgBonus size-s imgBonus_6;1080
Riserva;Vlahovic;A;;;1816
Riserva;Barrow;A;6;;1705
