Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Provedel;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;500
Titolare;Caldirola;D;6;;2244
Riserva;Mari;D;;;2676
Riserva;Perez N.;D;;;2570
Titolare;Koopmeiners;C;5.5;;2580
Titolare;Baldanzi;C;6.25;imgBonus size-s imgBonus_6;2599
Titolare;Frattesi;C;6;;1431
Titolare;Messias;C;6.5;;2300
Titolare;Strefezza;C;5.5;;2046
Titolare;Rovella;C;6.25;;2114
Titolare;Mota;A;5.25;;1696
Riserva;Maximiano;P;;;2781
Riserva;Dybala;A;6;;185
Riserva;Saelemaekers;C;6.5;;2178
Riserva;Hjulmand;C;5.75;imgBonus size-s imgBonus_6;2759
Riserva;Arnautovic;A;6.25;;2535
Titolare;Scalvini;D;6;;2561
Titolare;Djimsiti;D;5.5;;1090
