Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Meret;P;;;325
Titolare;Becao;D;6.5;imgBonus size-s imgBonus_6;2034
Titolare;Luperto;D;6.5;;682
Titolare;Rrahmani;D;;;2045
Titolare;Saponara;C;6;;418
Titolare;Felipe Anderson;C;5.75;;196
Titolare;Pasalic;C;5.5;;1357
Riserva;Kostic;C;;;2818
Titolare;Coulibaly L.;C;5.75;;2554
Titolare;Abraham;A;6;;2558
Titolare;Pedro;A;5.5;;2289
Titolare;Gollini;P;6.5;imgBonus size-s imgBonus_10;222
Titolare;Chiesa;C;6.5;imgBonus size-s imgBonus_9;1128
Riserva;Juan Jesus;D;;;261
Riserva;Defrel;A;6.5;imgBonus size-s imgBonus_9;801
Riserva;Brekalo;C;;;2591
Riserva;Troost-Ekong;D;;;1873
Riserva;Ederson;C;6;;2701
