Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Musso;P;;;1794
Riserva;Bremer;D;;;1773
Titolare;Bastoni A.;D;6;;1389
Titolare;Olivera;D;5.75;;2754
Titolare;Luis Alberto;C;6;;1367
Titolare;Zielinski;C;6;;486
Titolare;Marin;C;6.5;;2311
Titolare;Rabiot;C;6.5;imgBonus size-s imgBonus_6;2029
Titolare;Vlahovic;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1816
Titolare;Dia;A;5;;2842
Titolare;Gabbiadini;A;5;;208
Titolare;Ochoa;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2891
Titolare;Darmian;D;5.75;;154
Riserva;Marusic;D;5.5;imgBonus size-s imgBonus_6;1506
Riserva;Djuricic;C;5;;1279
Riserva;Cristante;C;6;;1080
Riserva;Mandragora;C;6;;299
Riserva;Milik;A;5.5;;1296
