Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Silvestri;P;6;imgBonus size-s imgBonus_2;1599
Titolare;Parisi;D;6;;2492
Titolare;Lazzari;D;5.5;;1542
Titolare;Ferrari G.;D;5.5;;1168
Titolare;Lookman;C;5.5;imgBonus size-s imgBonus_6;2812
Riserva;Boga;C;;;1840
Titolare;Samardzic;C;6;;2541
Titolare;Pereyra;C;6.5;imgBonus size-s imgBonus_1;367
Titolare;Osimhen;A;5.5;;2290
Titolare;Beto;A;6;;2590
Riserva;Ceesay;A;;;2760
Riserva;Audero;P;6.75;imgBonus size-s imgBonus_2;525
Riserva;Marlon;D;6;;1872
Riserva;Umtiti;D;7;;2847
Titolare;Paredes;C;5.75;;356
Riserva;Vilhena;C;6;;2817
Titolare;Success;A;6;;2559
Riserva;Destro;A;;;169
