Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Meret;P;6;imgBonus size-s imgBonus_2;325
Titolare;Becao;D;6;;2034
Titolare;Smalling;D;7;;2119
Riserva;Dumfries;D;;imgBonus size-s imgBonus_6;2551
Titolare;Kostic;C;5.75;;2818
Titolare;Felipe Anderson;C;5;;196
Titolare;Ederson;C;5;;2701
Titolare;Chiesa;C;5.5;;1128
Titolare;Lammers;A;6;;2340
Titolare;Nzola;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;2270
Titolare;Abraham;A;6.75;;2558
Riserva;Di Gregorio;P;6.25;imgBonus size-s imgBonus_2;1429
Riserva;Pasalic;C;6.5;imgBonus size-s imgBonus_1;1357
Riserva;Pedro;A;5.5;;2289
Titolare;Schuurs;D;6;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;2832
Riserva;Rrahmani;D;5;;2045
Riserva;Coulibaly L.;C;6;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;2554
Riserva;Luperto;D;6.25;;682
