Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Provedel;P;5.75;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;500
Titolare;Toloi;D;6;;1013
Titolare;Hateboer;D;6;;1451
Titolare;Bastoni S.;D;6;;2255
Titolare;Koopmeiners;C;7;imgBonus size-s imgBonus_1;2580
Titolare;Strefezza;C;6.5;;2046
Titolare;Vlasic;C;6;;2827
Titolare;Ikone;C;5.75;;2629
Titolare;Miranchuk;C;6;;2307
Titolare;Dybala;A;6;;185
Titolare;Dia;A;5.75;;2842
Riserva;Maximiano;P;;;2781
Riserva;Soppy;D;;;2576
Riserva;Djimsiti;D;;;1090
Riserva;Radonjic;C;5.5;;2756
Riserva;Amrabat;C;;;2111
Riserva;Milik;A;5.5;;1296
Riserva;Scalvini;D;6;;2561
