Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Milinkovic V.;P;6;imgBonus size-s imgBonus_2;1523
Titolare;Dimarco;D;6;;599
Titolare;Zappacosta;D;6.5;;484
Titolare;Valeri;D;5.75;;2757
Titolare;Vojvoda;D;5.25;;2292
Titolare;Barella;C;6.25;;809
Titolare;Lobotka;C;6.5;;2158
Titolare;Lauriente;C;5.75;;2857
Titolare;Sanabria;A;6.75;imgBonus size-s imgBonus_1;416
Riserva;Raspadori;A;;;1947
Titolare;Berardi;A;6.5;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_6;84
Riserva;Consigli;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;147
Titolare;Lovric;C;6;;2762
Riserva;Zanimacchia;C;5.5;;1336
Riserva;Bajrami;C;6.5;;2493
Riserva;De Vrij;D;;;164
Riserva;Toljan;D;5.5;;2043
Riserva;De Roon;C;5.75;imgBonus size-s imgBonus_6;670
