Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Onana;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2739
Titolare;Skriniar;D;6;imgBonus size-s imgBonus_6;1099
Titolare;Danilo;D;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2096
Titolare;Depaoli;D;6;;1102
Titolare;Di Maria;C;6.5;;2742
Titolare;Lazovic;C;7.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;669
Titolare;Locatelli;C;5.5;imgBonus size-s imgBonus_6;1123
Titolare;Anguissa;C;6.5;imgBonus size-s imgBonus_6;2577
Titolare;Dominguez;C;6.25;imgBonus size-s imgBonus_6;2153
Titolare;Martinez L.;A;7.25;imgBonus size-s imgBonus_1;1747
Titolare;Cabral;A;5.5;;2700
Riserva;Handanovic;P;;;237
Riserva;Kouame;A;5.5;;1836
Riserva;Di Francesco;A;5.75;;1206
Riserva;Gallo;D;5.75;;2086
Riserva;Correa;A;;;148
Riserva;Stojanovic;D;5;;2510
Riserva;Bandinelli;C;5.5;imgBonus size-s imgBonus_6;1553
