Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Falcone;P;6;imgBonus size-s imgBonus_10;1449
Titolare;Mancini G.;D;5.5;;1549
Titolare;Ibanez;D;6;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1923
Titolare;Ismajli;D;5.5;;2329
Titolare;Baschirotto;D;6.25;imgBonus size-s imgBonus_6;2775
Titolare;Elmas;C;7;imgBonus size-s imgBonus_3;2085
Titolare;Diaz;C;6.5;;2319
Titolare;Kvaratskhelia;C;5;;2769
Titolare;Cataldi;C;6.25;;132
Riserva;Thorstvedt;C;;;2772
Titolare;Immobile;A;5.5;;1084
Riserva;Brancolini;P;;;1735
Riserva;Spinazzola;D;;;957
Riserva;Kyriakopoulos;D;;;2123
Riserva;Pinamonti;A;5.75;;1306
Riserva;Dessers;A;5;;2813
Titolare;Leris;C;5.5;imgBonus size-s imgBonus_6;1277
Riserva;Rogerio;D;6;;1110
