Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Terracciano;P;5.5;imgBonus size-s imgBonus_2;1821
Titolare;Djimsiti;D;5.25;imgBonus size-s imgBonus_6;1090
Titolare;Scalvini;D;5.5;;2561
Titolare;Palomino;D;5;imgBonus size-s imgBonus_6;1531
Titolare;Frattesi;C;6.5;;1431
Titolare;Vlasic;C;5.5;;2827
Titolare;Saelemaekers;C;6.25;;2178
Titolare;Dybala;A;6.5;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;185
Riserva;Mota;A;;;1696
Titolare;Ngonge;A;6;imgBonus size-s imgBonus_9;2906
Titolare;Hojlund;A;5;;2851
Riserva;Provedel;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_6;500
Titolare;Sansone;A;6.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;417
Riserva;Miranchuk;C;5.75;;2307
Riserva;Mari;D;6.5;;2676
Riserva;Perez N.;D;5.25;imgBonus size-s imgBonus_6;2570
Riserva;Baldanzi;C;6;;2599
Riserva;Maximiano;P;;;2781
