Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Musso;P;;;1794
Titolare;Bastoni A.;D;5.5;;1389
Titolare;Darmian;D;6;;154
Titolare;Olivera;D;6;;2754
Titolare;Luis Alberto;C;7;;1367
Titolare;Rabiot;C;5.75;;2029
Titolare;Candreva;C;6.25;;33
Titolare;Djuricic;C;5.5;;1279
Titolare;Vlahovic;A;5.25;;1816
Titolare;Dia;A;5.5;;2842
Riserva;Kean;A;;;1386
Titolare;Sportiello;P;7;imgBonus size-s imgBonus_2;435
Riserva;Bremer;D;6;;1773
Riserva;Mario Rui;D;;;306
Riserva;Igor;D;;;2005
Riserva;Zielinski;C;6;;486
Riserva;Marin;C;6.25;;2311
Titolare;Gabbiadini;A;6;imgBonus size-s imgBonus_9;208
