Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Silvestri;P;6;imgBonus size-s imgBonus_10;1599
Titolare;Parisi;D;5.5;imgBonus size-s imgBonus_6;2492
Titolare;Sernicola;D;5;imgBonus size-s imgBonus_6;1838
Titolare;Ehizibue;D;6.5;;2860
Titolare;Pereyra;C;6.5;;367
Titolare;Samardzic;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_15;2541
Titolare;Barak;C;6;imgBonus size-s imgBonus_6;1622
Titolare;Winks;C;5.5;;2861
Titolare;Osimhen;A;5.75;;2290
Titolare;Beto;A;6;;2590
Titolare;Gaich;A;6.5;;2432
Riserva;Carnesecchi;P;5.75;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2299
Riserva;Buongiorno;D;6.75;;1463
Riserva;Ferrari G.;D;5;;1168
Riserva;Colpani;C;6.25;;1881
Riserva;Vilhena;C;6.5;;2817
Riserva;Success;A;7;imgBonus size-s imgBonus_1;2559
Riserva;Boga;C;;;1840
