Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;6.25;imgBonus size-s imgBonus_10;2498
Titolare;Hernandez;D;6.75;;2017
Titolare;Romagnoli A.;D;5.25;;404
Titolare;Pavard;D;6;imgBonus size-s imgBonus_6;3206
Titolare;Locatelli;C;6;;1123
Titolare;Cambiaghi;C;7;imgBonus size-s imgBonus_1;1975
Titolare;Calhanoglu;C;7;imgBonus size-s imgBonus_3;1507
Titolare;Henrique;C;5.5;;2545
Titolare;Mota;A;6.25;;1696
Titolare;Leao;A;6.75;imgBonus size-s imgBonus_1;2089
Titolare;Castellanos;A;5.75;imgBonus size-s imgBonus_6;3100
Riserva;Consigli;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;147
Riserva;Musah;C;6;;3166
Riserva;Cancellieri;C;7;imgBonus size-s imgBonus_1;2387
Riserva;Tchaouna;A;5;;3207
Riserva;Luvumbo;A;6.5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;2345
Riserva;Luperto;D;5;;682
Riserva;Rodriguez;D;6.25;;1504
