Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Ravaglia F.;P;;;2318
Titolare;Biraghi;D;;;95
Titolare;Holm;D;6;;2571
Titolare;Kolasinac;D;6.5;;3055
Titolare;Hien;D;5.5;imgBonus size-s imgBonus_6;2853
Riserva;Miranchuk;C;;;2307
Riserva;Orsolini;C;;;1519
Titolare;Rabiot;C;5.75;;2029
Titolare;Colpani;C;6.25;;1881
Titolare;Felipe Anderson;C;6;;196
Riserva;Scamacca;A;;;1454
Riserva;Skorupski;P;6;imgBonus size-s imgBonus_2;429
Titolare;Okafor;A;6;;3150
Riserva;Isaksen;C;;;3165
Titolare;Ederson;C;6;;2701
Riserva;Djimsiti;D;6;imgBonus size-s imgBonus_6;1090
Riserva;Baschirotto;D;6.5;;2775
Titolare;Pulisic;C;5.5;;3078
