Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Okoye;P;7.25;imgBonus size-s imgBonus_10;3210
Titolare;Lucumi;D;5.5;;2839
Riserva;Llorente;D;;;2912
Titolare;Dumfries;D;6;;2551
Riserva;Bani;D;;;1513
Titolare;Pellegrini Lo.;C;6;;364
Titolare;Cristante;C;5.5;;1080
Titolare;Fabbian;C;6.25;;3072
Titolare;Bonaventura;C;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;101
Titolare;Dybala;A;6.25;;185
Titolare;Soule;A;6.25;;2604
Riserva;Terracciano;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1821
Riserva;Lookman;A;7.5;imgBonus size-s imgBonus_1;2812
Riserva;Baldanzi;C;;;2599
Titolare;Pellegrini Lu.;D;6;;1725
Riserva;Patric;D;;;618
Titolare;Gila;D;6;;2776
Riserva;Frendrup;C;6.5;;2706
