Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Provedel;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;500
Riserva;Mario Rui;D;;;306
Titolare;Schuurs;D;6;;2832
Titolare;Tomori;D;6.5;;2428
Titolare;De Vrij;D;6.5;;164
Titolare;Rabiot;C;5.75;imgBonus size-s imgBonus_6;2029
Riserva;Messias;C;;;2300
Titolare;Pulisic;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;3078
Titolare;Simeone;A;5.75;imgBonus size-s imgBonus_6;1343
Titolare;Retegui;A;6;imgBonus size-s imgBonus_9;3151
Titolare;Ngonge;A;5;;2906
Riserva;Silvestri;P;5.25;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1599
Riserva;Osimhen;A;7;imgBonus size-s imgBonus_1;2290
Titolare;Faraoni;D;6;;536
Titolare;De Roon;C;6.5;;670
Riserva;El Shaarawy;C;;;190
Riserva;Gagliardini;C;6;;733
Riserva;Marin;C;5.5;;2311
