Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sommer;P;6.25;imgBonus size-s imgBonus_10;3174
Titolare;Bremer;D;6.5;;1773
Titolare;Acerbi;D;6;;40
Titolare;Lazaro;D;6.25;imgBonus size-s imgBonus_6;2019
Titolare;Pasalic;C;6;;1357
Titolare;Politano;C;7;imgBonus size-s imgBonus_1;510
Titolare;Mancosu;C;4.5;imgBonus size-s imgBonus_4;573
Titolare;Luis Alberto;C;6;;1367
Titolare;Lukaku;A;5.5;;2099
Titolare;Gudmundsson;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2713
Titolare;Berardi;A;6.25;imgBonus size-s imgBonus_6;84
Riserva;Milinkovic;P;6.5;imgBonus size-s imgBonus_10;1523
Riserva;Mancini;D;6.25;imgBonus size-s imgBonus_6;1549
Riserva;Doig;D;5.75;;2782
Riserva;Barella;C;6;;809
Riserva;Arthur;C;5.75;;2236
Riserva;Lapadula;A;;;1264
Riserva;Malinovskyi;C;6;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;2078
