Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Rui Patricio;P;6.5;imgBonus size-s imgBonus_10;2508
Titolare;Dimarco;D;7.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;599
Titolare;Di Lorenzo;D;5.5;;1822
Riserva;Gallo;D;;;2086
Titolare;Candreva;C;6;;33
Riserva;Loftus Cheek;C;;;3077
Titolare;Kostic;C;7;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;2818
Titolare;Ferguson;C;6;;2783
Titolare;Aebischer;C;5.75;imgBonus size-s imgBonus_6;2696
Titolare;Martinez L.;A;5.75;;1747
Titolare;Zirkzee;A;7;imgBonus size-s imgBonus_3;2438
Riserva;Svilar;P;;;2746
Riserva;Milik;A;;;1296
Riserva;Sanabria;A;5.5;;416
Titolare;Duda;C;5.75;imgBonus size-s imgBonus_6;2910
Titolare;Perez;D;6.5;;2570
Riserva;Augello;D;6;;2087
Riserva;Gendrey;D;5.5;;2758
