Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Svilar;P;7.25;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2746
Riserva;Dimarco;D;;;599
Titolare;Danilo;D;6.25;;2096
Titolare;Bastoni A.;D;6.5;;1389
Titolare;Vasquez;D;7;imgBonus size-s imgBonus_9;2550
Titolare;Yildiz;C;5.5;;2952
Titolare;Loftus Cheek;C;6.25;;3077
Titolare;Aebischer;C;6.25;;2696
Titolare;Freuler;C;5;;1091
Titolare;Martinez L.;A;6.25;;1747
Titolare;Zirkzee;A;6;imgBonus size-s imgBonus_6;2438
Riserva;Rui Patricio;P;;;2508
Riserva;Djuric;A;5.5;;854
Riserva;Kostic;C;5.75;;2818
Riserva;Duda;C;5.5;imgBonus size-s imgBonus_6;2910
Titolare;Gallo;D;6.5;;2086
Riserva;Gendrey;D;6.25;;2758
Riserva;Augello;D;5.25;imgBonus size-s imgBonus_6;2087
