Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Provedel;P;6.25;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;500
Titolare;Angelino;D;6.5;;3286
Titolare;Mario Rui;D;6.5;imgBonus size-s imgBonus_9;306
Riserva;De Vrij;D;;;164
Titolare;El Shaarawy;C;5.5;;190
Titolare;De Ketelaere;C;6;;2804
Titolare;Vlasic;C;5;;2827
Riserva;Marin;C;;;2311
Titolare;Retegui;A;5.5;;3151
Titolare;Belotti;A;7;;79
Titolare;Osimhen;A;5.25;imgBonus size-s imgBonus_6;2290
Riserva;Sepe;P;;;424
Titolare;Gatti;D;6;;2741
Riserva;Birindelli;D;6.5;;2761
Titolare;Mckennie;C;7;imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_9;2297
Riserva;Bajrami;C;6;;2493
Riserva;Nandez;C;7;imgBonus size-s imgBonus_9;2098
Riserva;Simeone;A;;;1343
