Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sommer;P;6.5;imgBonus size-s imgBonus_2;3174
Titolare;Acerbi;D;6.75;imgBonus size-s imgBonus_1;40
Titolare;Mancini;D;4.5;;1549
Titolare;Bremer;D;5.25;imgBonus size-s imgBonus_6;1773
Titolare;Pasalic;C;6;;1357
Titolare;Politano;C;5.75;;510
Titolare;Barella;C;6.5;imgBonus size-s imgBonus_6;809
Titolare;Luis Alberto;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1367
Titolare;Gaetano;C;7;imgBonus size-s imgBonus_3;1944
Titolare;Gudmundsson;A;5.5;;2713
Riserva;Lukaku;A;;;2099
Riserva;Milinkovic;P;6;imgBonus size-s imgBonus_10;1523
Riserva;Sanchez;A;;;2109
Titolare;Niang;A;6;;345
Riserva;Lazovic;C;6;;669
Riserva;Lobotka;C;5.5;;2158
Riserva;Lazaro;D;;;2019
Riserva;Posch;D;6.5;;2868
