Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Svilar;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2746
Titolare;Dimarco;D;6.25;;599
Titolare;Danilo;D;6;;2096
Titolare;Bastoni A.;D;6.25;;1389
Titolare;Yildiz;C;6.75;;2952
Titolare;Candreva;C;5.5;imgBonus size-s imgBonus_6;33
Titolare;Loftus Cheek;C;5.75;;3077
Riserva;Suslov;C;;;3231
Titolare;Freuler;C;6.75;imgBonus size-s imgBonus_6;1091
Titolare;Martinez L.;A;5.5;imgBonus size-s imgBonus_6;1747
Titolare;Zirkzee;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_15;2438
Riserva;Rui Patricio;P;;;2508
Riserva;Djuric;A;5;;854
Titolare;Aebischer;C;6;;2696
Riserva;Duda;C;6.5;imgBonus size-s imgBonus_9;2910
Riserva;Vasquez;D;6;;2550
Riserva;Milik;A;6.25;;1296
Riserva;Gallo;D;7;imgBonus size-s imgBonus_9;2086
